Simulation time: 10 seconds
Starting drones: 2
Starting nectar workers: 100
Starting pollen workers: 100
*BH* QUEEN #1 is born!
*BH* DRONE #2 is born!
*BH* DRONE #3 is born!
*BH* NECTAR WORKER #4 is born!
*BH* NECTAR WORKER #5 is born!
*BH* NECTAR WORKER #6 is born!
*BH* NECTAR WORKER #7 is born!
*BH* NECTAR WORKER #8 is born!
*BH* NECTAR WORKER #9 is born!
*BH* NECTAR WORKER #10 is born!
*BH* NECTAR WORKER #11 is born!
*BH* NECTAR WORKER #12 is born!
*BH* NECTAR WORKER #13 is born!
*BH* NECTAR WORKER #14 is born!
*BH* NECTAR WORKER #15 is born!
*BH* NECTAR WORKER #16 is born!
*BH* NECTAR WORKER #17 is born!
*BH* NECTAR WORKER #18 is born!
*BH* NECTAR WORKER #19 is born!
*BH* NECTAR WORKER #20 is born!
*BH* NECTAR WORKER #21 is born!
*BH* NECTAR WORKER #22 is born!
*BH* NECTAR WORKER #23 is born!
*BH* NECTAR WORKER #24 is born!
*BH* NECTAR WORKER #25 is born!
*BH* NECTAR WORKER #26 is born!
*BH* NECTAR WORKER #27 is born!
*BH* NECTAR WORKER #28 is born!
*BH* NECTAR WORKER #29 is born!
*BH* NECTAR WORKER #30 is born!
*BH* NECTAR WORKER #31 is born!
*BH* NECTAR WORKER #32 is born!
*BH* NECTAR WORKER #33 is born!
*BH* NECTAR WORKER #34 is born!
*BH* NECTAR WORKER #35 is born!
*BH* NECTAR WORKER #36 is born!
*BH* NECTAR WORKER #37 is born!
*BH* NECTAR WORKER #38 is born!
*BH* NECTAR WORKER #39 is born!
*BH* NECTAR WORKER #40 is born!
*BH* NECTAR WORKER #41 is born!
*BH* NECTAR WORKER #42 is born!
*BH* NECTAR WORKER #43 is born!
*BH* NECTAR WORKER #44 is born!
*BH* NECTAR WORKER #45 is born!
*BH* NECTAR WORKER #46 is born!
*BH* NECTAR WORKER #47 is born!
*BH* NECTAR WORKER #48 is born!
*BH* NECTAR WORKER #49 is born!
*BH* NECTAR WORKER #50 is born!
*BH* NECTAR WORKER #51 is born!
*BH* NECTAR WORKER #52 is born!
*BH* NECTAR WORKER #53 is born!
*BH* NECTAR WORKER #54 is born!
*BH* NECTAR WORKER #55 is born!
*BH* NECTAR WORKER #56 is born!
*BH* NECTAR WORKER #57 is born!
*BH* NECTAR WORKER #58 is born!
*BH* NECTAR WORKER #59 is born!
*BH* NECTAR WORKER #60 is born!
*BH* NECTAR WORKER #61 is born!
*BH* NECTAR WORKER #62 is born!
*BH* NECTAR WORKER #63 is born!
*BH* NECTAR WORKER #64 is born!
*BH* NECTAR WORKER #65 is born!
*BH* NECTAR WORKER #66 is born!
*BH* NECTAR WORKER #67 is born!
*BH* NECTAR WORKER #68 is born!
*BH* NECTAR WORKER #69 is born!
*BH* NECTAR WORKER #70 is born!
*BH* NECTAR WORKER #71 is born!
*BH* NECTAR WORKER #72 is born!
*BH* NECTAR WORKER #73 is born!
*BH* NECTAR WORKER #74 is born!
*BH* NECTAR WORKER #75 is born!
*BH* NECTAR WORKER #76 is born!
*BH* NECTAR WORKER #77 is born!
*BH* NECTAR WORKER #78 is born!
*BH* NECTAR WORKER #79 is born!
*BH* NECTAR WORKER #80 is born!
*BH* NECTAR WORKER #81 is born!
*BH* NECTAR WORKER #82 is born!
*BH* NECTAR WORKER #83 is born!
*BH* NECTAR WORKER #84 is born!
*BH* NECTAR WORKER #85 is born!
*BH* NECTAR WORKER #86 is born!
*BH* NECTAR WORKER #87 is born!
*BH* NECTAR WORKER #88 is born!
*BH* NECTAR WORKER #89 is born!
*BH* NECTAR WORKER #90 is born!
*BH* NECTAR WORKER #91 is born!
*BH* NECTAR WORKER #92 is born!
*BH* NECTAR WORKER #93 is born!
*BH* NECTAR WORKER #94 is born!
*BH* NECTAR WORKER #95 is born!
*BH* NECTAR WORKER #96 is born!
*BH* NECTAR WORKER #97 is born!
*BH* NECTAR WORKER #98 is born!
*BH* NECTAR WORKER #99 is born!
*BH* NECTAR WORKER #100 is born!
*BH* NECTAR WORKER #101 is born!
*BH* NECTAR WORKER #102 is born!
*BH* NECTAR WORKER #103 is born!
*BH* POLLEN WORKER #104 is born!
*BH* POLLEN WORKER #105 is born!
*BH* POLLEN WORKER #106 is born!
*BH* POLLEN WORKER #107 is born!
*BH* POLLEN WORKER #108 is born!
*BH* POLLEN WORKER #109 is born!
*BH* POLLEN WORKER #110 is born!
*BH* POLLEN WORKER #111 is born!
*BH* POLLEN WORKER #112 is born!
*BH* POLLEN WORKER #113 is born!
*BH* POLLEN WORKER #114 is born!
*BH* POLLEN WORKER #115 is born!
*BH* POLLEN WORKER #116 is born!
*BH* POLLEN WORKER #117 is born!
*BH* POLLEN WORKER #118 is born!
*BH* POLLEN WORKER #119 is born!
*BH* POLLEN WORKER #120 is born!
*BH* POLLEN WORKER #121 is born!
*BH* POLLEN WORKER #122 is born!
*BH* POLLEN WORKER #123 is born!
*BH* POLLEN WORKER #124 is born!
*BH* POLLEN WORKER #125 is born!
*BH* POLLEN WORKER #126 is born!
*BH* POLLEN WORKER #127 is born!
*BH* POLLEN WORKER #128 is born!
*BH* POLLEN WORKER #129 is born!
*BH* POLLEN WORKER #130 is born!
*BH* POLLEN WORKER #131 is born!
